release_year,videojuegos
1954.0,1
1958.0,1
1962.0,1
1970.0,1
1971.0,6
1972.0,2
1973.0,1
1974.0,2
1975.0,3
1976.0,7
1977.0,13
1978.0,17
1979.0,15
1980.0,35
1981.0,68
1982.0,154
1983.0,211
1984.0,189
1985.0,230
1986.0,258
1987.0,352
1988.0,327
1989.0,450
1990.0,556
1991.0,597
1992.0,686
1993.0,770
1994.0,854
1995.0,888
1996.0,797
1997.0,888
1998.0,756
1999.0,833
2000.0,1096
2001.0,1221
2002.0,1128
2003.0,1308
2004.0,1336
2005.0,1317
2006.0,1417
2007.0,1685
2008.0,2097
2009.0,3159
2010.0,3913
2011.0,4334
2012.0,5390
2013.0,6346
2014.0,15362
2015.0,25899
2016.0,40251
2017.0,54581
2018.0,67955
2019.0,73678
2020.0,121344
2021.0,158695
2022.0,168163
2023.0,61952
2024.0,17511
2025.0,17953
2026.0,941
2027.0,11
2028.0,1
2029.0,2
2030.0,84
2031.0,1
2033.0,2
