genres,juegos_con_rating,rating_promedio,rating_mediano
Platformer,951,3.6756,3.8
Fighting,516,3.642,3.735
Family,257,3.5523,3.61
Arcade,1534,3.5152,3.66
Puzzle,1131,3.5145,3.64
Card,131,3.4878,3.58
Shooter,1599,3.4346,3.56
Educational,120,3.4041,3.6
Adventure,6426,3.3516,3.47
RPG,3798,3.3509,3.45
Racing,970,3.3242,3.5
Sports,959,3.2871,3.41
Action,8793,3.2866,3.41
Simulation,2634,3.2846,3.43
Board Games,138,3.2648,3.345
Strategy,3216,3.2528,3.38
Casual,3087,3.0946,3.2
Indie,6616,3.0913,3.18
Massively Multiplayer,571,2.8681,2.83
