release_year,videojuegos,juegos_con_rating,rating_promedio,juegos_con_metacritic,metacritic_promedio,total_ratings
1954.0,1,0,,0,,0.0
1958.0,1,1,3.77,0,,10.0
1962.0,1,1,3.76,0,,23.0
1970.0,1,0,,0,,5.0
1971.0,6,5,3.312,0,,61.0
1972.0,2,2,3.28,0,,62.0
1973.0,1,1,3.17,0,,4.0
1974.0,2,2,3.35,0,,14.0
1975.0,3,1,3.38,0,,10.0
1976.0,7,6,2.9833,0,,62.0
1977.0,13,12,2.8942,0,,80.0
1978.0,17,8,2.8638,0,,150.0
1979.0,15,10,3.072,0,,274.0
1980.0,35,14,3.4107,1,62.0,493.0
1981.0,68,13,3.5615,0,,534.0
1982.0,154,19,3.34,0,,592.0
1983.0,211,18,3.5117,1,54.0,726.0
1984.0,189,31,3.6423,0,,1529.0
1985.0,230,36,3.5858,1,71.0,2273.0
1986.0,258,38,3.6055,2,58.5,1630.0
1987.0,352,54,3.5961,1,81.0,2220.0
1988.0,327,46,3.4672,3,55.6667,2374.0
1989.0,450,72,3.6292,3,72.3333,2532.0
1990.0,556,89,3.6648,4,71.75,3470.0
1991.0,597,119,3.658,6,80.6667,5403.0
1992.0,686,123,3.8557,7,76.8571,5447.0
1993.0,770,166,3.7995,12,68.6667,8195.0
1994.0,854,166,3.7827,9,78.8889,8170.0
1995.0,888,163,3.7392,12,72.5,7990.0
1996.0,797,167,3.711,24,82.5833,10680.0
1997.0,888,177,3.8771,44,78.4545,13478.0
1998.0,756,185,3.8492,45,81.2444,15717.0
1999.0,833,253,3.8436,64,78.75,17765.0
2000.0,1096,244,3.854,136,74.3676,18455.0
2001.0,1221,261,3.8036,151,74.7748,23069.0
2002.0,1128,234,3.7904,168,72.9702,22778.0
2003.0,1308,301,3.7353,197,71.6751,24499.0
2004.0,1336,322,3.7205,224,72.1562,40048.0
2005.0,1317,344,3.7187,217,72.47,30536.0
2006.0,1417,355,3.6146,237,70.0295,28872.0
2007.0,1685,374,3.5328,243,70.5309,48618.0
2008.0,2097,420,3.4385,249,70.5301,50565.0
2009.0,3159,530,3.3561,353,71.1615,65846.0
2010.0,3913,556,3.3981,328,72.6555,81256.0
2011.0,4334,535,3.3019,318,71.1824,82425.0
2012.0,5390,662,3.2806,345,71.4377,101489.0
2013.0,6346,777,3.2202,424,71.0307,131783.0
2014.0,15362,1077,2.9695,432,70.7222,121641.0
2015.0,25899,1300,2.9786,515,71.1223,144560.0
2016.0,40251,1599,2.9361,512,72.082,157974.0
2017.0,54581,1304,3.1593,438,73.6073,130956.0
2018.0,67955,1069,3.351,318,73.5597,116756.0
2019.0,73678,833,3.4324,325,73.0431,84191.0
2020.0,121344,818,3.4768,366,72.6585,69169.0
2021.0,158695,805,3.5584,262,72.6489,46608.0
2022.0,168163,563,3.55,86,74.2907,33136.0
2023.0,61952,441,3.5485,24,78.6667,23249.0
2024.0,17511,293,3.5996,2,82.0,12250.0
2025.0,17953,205,3.6683,0,,7441.0
2026.0,941,50,3.8346,0,,1236.0
2027.0,11,1,3.9,0,,14.0
2028.0,1,0,,0,,1.0
2029.0,2,0,,0,,4.0
2030.0,84,0,,0,,8.0
2031.0,1,0,,0,,0.0
2033.0,2,0,,0,,0.0
