release_year,videojuegos
1954,1
1958,1
1962,1
1970,1
1971,6
1972,2
1973,1
1974,2
1975,3
1976,7
1977,13
1978,17
1979,15
1980,35
1981,68
1982,154
1983,211
1984,189
1985,230
1986,258
1987,352
1988,327
1989,450
1990,556
1991,597
1992,686
1993,770
1994,854
1995,888
1996,797
1997,888
1998,756
1999,833
2000,1096
2001,1221
2002,1128
2003,1308
2004,1336
2005,1317
2006,1417
2007,1685
2008,2097
2009,3159
2010,3913
2011,4334
2012,5390
2013,6346
2014,15362
2015,25899
2016,40251
2017,54581
2018,67955
2019,73678
2020,121344
2021,158695
2022,168163
2023,61952
2024,17511
2025,17953
2026,941
2027,11
2028,1
2029,2
2030,84
2031,1
2033,2
