genres,juegos_con_metacritic,metacritic_promedio,metacritic_mediano
Educational,27,75.8519,77.0
Card,47,75.4255,77.0
Platformer,448,75.2388,77.0
Massively Multiplayer,143,75.028,76.0
Puzzle,486,74.5658,75.0
RPG,1564,73.8414,75.0
Strategy,1282,73.0062,74.0
Sports,391,72.9284,76.0
Casual,596,72.849,74.0
Fighting,252,72.3095,74.0
Shooter,901,71.8457,74.0
Racing,411,71.8345,74.0
Indie,1908,71.8024,73.0
Family,134,71.694,74.0
Arcade,571,71.627,74.0
Simulation,779,71.4865,73.0
Adventure,2442,71.3587,73.0
Action,3904,71.2618,73.0
Board Games,57,70.5614,71.0
