id,name,release_year,rating,ratings_count,reviews_count,genres
3498,Grand Theft Auto V,2013,4.47,7409,7544,Action
3328,The Witcher 3: Wild Hunt,2015,4.64,7234,7354,Action|RPG
4200,Portal 2,2011,4.58,6118,6175,Shooter|Puzzle
28,Red Dead Redemption 2,2018,4.59,5525,5658,Action
58175,God of War (2018),2018,4.54,5175,5283,Action
13536,Portal,2007,4.49,5030,5075,Action|Puzzle
5679,The Elder Scrolls V: Skyrim,2011,4.42,4933,4989,Action|RPG
4062,BioShock Infinite,2013,4.38,4174,4216,Action|Shooter
13537,Half-Life 2,2004,4.48,4108,4136,Action|Shooter
5286,Tomb Raider,2013,4.06,4103,4136,Action
416,Grand Theft Auto: San Andreas,2004,4.5,4082,4111,Action
278,Horizon Zero Dawn,2017,4.27,3778,3828,Action|RPG
3439,Life is Strange,2015,4.12,3776,3824,Adventure
2462,Uncharted 4: A Thiefs End,2016,4.48,3752,3790,Action|Shooter
58134,Marvels Spider-Man,2018,4.45,3727,3801,Action
4291,Counter-Strike: Global Offensive,2012,3.57,3638,3675,Shooter
2454,DOOM (2016),2016,4.38,3634,3675,Action|Shooter
3070,Fallout 4,2015,3.81,3437,3474,Action|RPG
12020,Left 4 Dead 2,2009,4.1,3408,3435,Action|Shooter
1030,Limbo,2010,4.14,3404,3447,Action|Adventure|Indie|Puzzle|Platformer
