release_year,videojuegos,juegos_con_rating,rating_promedio,juegos_con_metacritic,metacritic_promedio,total_ratings
1954,1,0,,0,,0
1958,1,1,3.77,0,,10
1962,1,1,3.76,0,,23
1970,1,0,,0,,5
1971,6,5,3.312,0,,61
1972,2,2,3.28,0,,62
1973,1,1,3.17,0,,4
1974,2,2,3.35,0,,14
1975,3,1,3.38,0,,10
1976,7,6,2.9833,0,,62
1977,13,12,2.8942,0,,80
1978,17,8,2.8638,0,,150
1979,15,10,3.072,0,,274
1980,35,14,3.4107,1,62.0,493
1981,68,13,3.5615,0,,534
1982,154,19,3.34,0,,592
1983,211,18,3.5117,1,54.0,726
1984,189,31,3.6423,0,,1529
1985,230,36,3.5858,1,71.0,2273
1986,258,38,3.6055,2,58.5,1630
1987,352,54,3.5961,1,81.0,2220
1988,327,46,3.4672,3,55.6667,2374
1989,450,72,3.6292,3,72.3333,2532
1990,556,89,3.6648,4,71.75,3470
1991,597,119,3.658,6,80.6667,5403
1992,686,123,3.8557,7,76.8571,5447
1993,770,166,3.7995,12,68.6667,8195
1994,854,166,3.7827,9,78.8889,8170
1995,888,163,3.7392,12,72.5,7990
1996,797,167,3.711,24,82.5833,10680
1997,888,177,3.8771,44,78.4545,13478
1998,756,185,3.8492,45,81.2444,15717
1999,833,253,3.8436,64,78.75,17765
2000,1096,244,3.854,136,74.3676,18455
2001,1221,261,3.8036,151,74.7748,23069
2002,1128,234,3.7904,168,72.9702,22778
2003,1308,301,3.7353,197,71.6751,24499
2004,1336,322,3.7205,224,72.1562,40048
2005,1317,344,3.7187,217,72.47,30536
2006,1417,355,3.6146,237,70.0295,28872
2007,1685,374,3.5328,243,70.5309,48618
2008,2097,420,3.4385,249,70.5301,50565
2009,3159,530,3.3561,353,71.1615,65846
2010,3913,556,3.3981,328,72.6555,81256
2011,4334,535,3.3019,318,71.1824,82425
2012,5390,662,3.2806,345,71.4377,101489
2013,6346,777,3.2202,424,71.0307,131783
2014,15362,1077,2.9695,432,70.7222,121641
2015,25899,1300,2.9786,515,71.1223,144560
2016,40251,1599,2.9361,512,72.082,157974
2017,54581,1304,3.1593,438,73.6073,130956
2018,67955,1069,3.351,318,73.5597,116756
2019,73678,833,3.4324,325,73.0431,84191
2020,121344,818,3.4768,366,72.6585,69169
2021,158695,805,3.5584,262,72.6489,46608
2022,168163,563,3.55,86,74.2907,33136
2023,61952,441,3.5485,24,78.6667,23249
2024,17511,293,3.5996,2,82.0,12250
2025,17953,205,3.6683,0,,7441
2026,941,50,3.8346,0,,1236
2027,11,1,3.9,0,,14
2028,1,0,,0,,1
2029,2,0,,0,,4
2030,84,0,,0,,8
2031,1,0,,0,,0
2033,2,0,,0,,0
